continent,region,country,year,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewable_resource_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,judicial_system_detention,law_enforcement,territorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors,criminality_avg,criminal_markets_avg,cyber_dependent_crimes,financial_crimes,counterfeit_goods_trade,illicit_trade_excisable_goods,extortion_protection_racketeering,criminal_actors_avg,private_sector_actors,resilience_avg
Asia,Western Asia,Turkey,2021,6.89,6.4,7.0,9.0,9.0,4.0,3.0,9.5,8.0,4.0,5.0,5.5,7.38,8.0,7.5,9.0,5.0,3.54,3.0,3.0,3.5,4.5,2.0,3.0,6.5,2.0,4.0,4.0,3.5,3.5,,,,,,,,,,
Africa,West Africa,Cabo Verde,2021,4.04,3.7,4.5,2.0,2.5,2.5,4.0,1.0,4.0,7.0,5.0,4.5,4.38,2.5,4.0,4.0,7.0,6.33,6.5,6.0,8.5,7.0,7.0,6.0,7.5,5.0,6.0,3.5,6.0,7.0,,,,,,,,,,
Africa,Southern Africa,South Africa,2021,6.63,6.0,4.5,4.0,8.0,3.5,7.5,7.5,7.5,5.5,3.5,8.5,7.25,7.0,7.0,7.5,7.5,5.79,6.0,5.5,6.5,6.5,6.0,5.0,6.0,6.0,6.0,4.0,5.0,7.0,,,,,,,,,,
Americas,South America,Colombia,2021,7.66,7.2,7.5,7.0,8.0,6.0,7.0,9.0,5.0,9.5,8.0,5.0,8.13,9.5,9.0,7.0,7.0,5.83,7.0,5.5,9.0,7.0,5.5,6.0,4.5,6.0,5.0,3.5,4.5,6.5,,,,,,,,,,
Americas,South America,Peru,2021,6.35,6.2,7.0,6.0,5.5,7.0,5.5,9.0,3.5,9.0,5.5,4.0,6.5,6.0,8.0,7.0,5.0,4.58,3.0,5.5,5.0,6.0,6.0,5.0,5.0,4.5,4.0,3.5,3.0,4.5,,,,,,,,,,
Asia,Western Asia,Iraq,2021,7.05,6.35,8.0,8.5,9.0,1.5,4.5,9.0,6.0,5.0,6.0,6.0,7.75,6.5,7.5,8.0,9.0,3.79,4.5,3.0,4.0,4.0,4.0,3.5,3.5,4.0,3.5,3.0,4.0,4.5,,,,,,,,,,
Americas,South America,Suriname,2021,4.9,4.55,4.0,4.0,5.5,5.0,3.5,9.0,1.5,8.5,2.5,2.0,5.25,2.5,5.0,8.0,5.5,2.25,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.5,2.0,2.5,4.0,,,,,,,,,,
Americas,South America,Venezuela,2021,6.64,5.65,7.5,7.5,8.0,2.5,2.5,9.0,2.0,9.0,7.0,1.5,7.63,9.5,5.0,9.0,7.0,1.92,2.0,1.5,1.5,2.0,1.5,1.5,3.5,1.5,1.0,1.0,2.0,4.0,,,,,,,,,,
Africa,Southern Africa,Mauritius,2021,4.51,4.4,4.5,3.5,2.0,2.0,3.0,4.0,8.0,3.5,5.5,8.0,4.63,2.0,6.0,6.0,4.5,5.67,6.0,6.0,6.5,6.0,5.5,5.5,5.5,3.5,7.0,5.5,5.0,6.0,,,,,,,,,,
Africa,Southern Africa,Botswana,2021,3.71,3.8,4.5,3.0,3.0,2.0,7.5,3.5,3.5,3.5,4.0,3.5,3.63,1.0,5.5,3.0,5.0,5.63,6.0,5.0,8.0,6.0,6.5,5.0,5.0,4.5,5.5,5.5,4.5,6.0,,,,,,,,,,
